SEF	1.0.0
ID	Detroit_Anthon
Name	Detroit, MI
Source	C3S-DRS
Lat	42.331
Lon	-83.046
Alt	NA
Link	
Vbl	ta
Stat	point
Units	C
Meta	Observer=George Christian Anthon
Year	Month	Day	Hour	Minute	Period	Value	Meta
1781	08	01	12	32	0	21.1	orig=70.0F|orig.time=7:00AM|orig.date=1781-8-1
1781	08	01	17	32	0	26.1	orig=79.0F|orig.time=12:00PM|orig.date=1781-8-1
1781	08	02	01	32	0	22.8	orig=73.0F|orig.time=20:00PM|orig.date=1781-8-1
1781	08	02	12	32	0	23.9	orig=75.0F|orig.time=7:00AM|orig.date=1781-8-2
1781	08	02	17	32	0	28.9	orig=84.0F|orig.time=12:00PM|orig.date=1781-8-2
1781	08	03	01	32	0	25.0	orig=77.0F|orig.time=20:00PM|orig.date=1781-8-2
1781	08	03	12	32	0	23.3	orig=74.0F|orig.time=7:00AM|orig.date=1781-8-3
1781	08	03	17	32	0	24.4	orig=76.0F|orig.time=12:00PM|orig.date=1781-8-3
1781	08	04	01	32	0	23.9	orig=75.0F|orig.time=20:00PM|orig.date=1781-8-3
1781	08	04	12	32	0	22.2	orig=72.0F|orig.time=7:00AM|orig.date=1781-8-4
1781	08	04	17	32	0	24.4	orig=76.0F|orig.time=12:00PM|orig.date=1781-8-4
1781	08	05	01	32	0	22.2	orig=72.0F|orig.time=20:00PM|orig.date=1781-8-4
1781	08	05	12	32	0	27.8	orig=82.0F|orig.time=7:00AM|orig.date=1781-8-5
1781	08	05	17	32	0	27.2	orig=81.0F|orig.time=12:00PM|orig.date=1781-8-5
1781	08	06	01	32	0	25.0	orig=77.0F|orig.time=20:00PM|orig.date=1781-8-5
1781	08	06	12	32	0	27.2	orig=81.0F|orig.time=7:00AM|orig.date=1781-8-6
1781	08	06	17	32	0	29.4	orig=85.0F|orig.time=12:00PM|orig.date=1781-8-6
1781	08	07	01	32	0	22.2	orig=72.0F|orig.time=20:00PM|orig.date=1781-8-6
1781	08	07	12	32	0	27.8	orig=82.0F|orig.time=7:00AM|orig.date=1781-8-7
1781	08	07	17	32	0	28.3	orig=83.0F|orig.time=12:00PM|orig.date=1781-8-7
1781	08	08	01	32	0	27.2	orig=81.0F|orig.time=20:00PM|orig.date=1781-8-7
1781	08	08	12	32	0	23.3	orig=74.0F|orig.time=7:00AM|orig.date=1781-8-8
1781	08	08	17	32	0	27.8	orig=82.0F|orig.time=12:00PM|orig.date=1781-8-8
1781	08	09	01	32	0	25.0	orig=77.0F|orig.time=20:00PM|orig.date=1781-8-8
1781	08	09	12	32	0	24.4	orig=76.0F|orig.time=7:00AM|orig.date=1781-8-9
1781	08	09	17	32	0	26.7	orig=80.0F|orig.time=12:00PM|orig.date=1781-8-9
1781	08	10	01	32	0	22.2	orig=72.0F|orig.time=20:00PM|orig.date=1781-8-9
1781	08	10	12	32	0	22.2	orig=72.0F|orig.time=7:00AM|orig.date=1781-8-10
1781	08	10	17	32	0	23.9	orig=75.0F|orig.time=12:00PM|orig.date=1781-8-10
1781	08	11	01	32	0	21.7	orig=71.0F|orig.time=20:00PM|orig.date=1781-8-10
1781	08	11	12	32	0	25.6	orig=78.0F|orig.time=7:00AM|orig.date=1781-8-11
1781	08	11	17	32	0	28.3	orig=83.0F|orig.time=12:00PM|orig.date=1781-8-11
1781	08	12	01	32	0	25.0	orig=77.0F|orig.time=20:00PM|orig.date=1781-8-11
1781	08	12	12	32	0	22.8	orig=73.0F|orig.time=7:00AM|orig.date=1781-8-12
1781	08	12	17	32	0	25.6	orig=78.0F|orig.time=12:00PM|orig.date=1781-8-12
1781	08	13	01	32	0	22.2	orig=72.0F|orig.time=20:00PM|orig.date=1781-8-12
1781	08	13	12	32	0	20.6	orig=69.0F|orig.time=7:00AM|orig.date=1781-8-13
1781	08	13	17	32	0	22.2	orig=72.0F|orig.time=12:00PM|orig.date=1781-8-13
1781	08	14	01	32	0	17.2	orig=63.0F|orig.time=20:00PM|orig.date=1781-8-13
1781	08	14	12	32	0	20.0	orig=68.0F|orig.time=7:00AM|orig.date=1781-8-14
1781	08	14	17	32	0	22.8	orig=73.0F|orig.time=12:00PM|orig.date=1781-8-14
1781	08	15	01	32	0	18.9	orig=66.0F|orig.time=20:00PM|orig.date=1781-8-14
1781	08	15	12	32	0	21.7	orig=71.0F|orig.time=7:00AM|orig.date=1781-8-15
1781	08	15	17	32	0	25.0	orig=77.0F|orig.time=12:00PM|orig.date=1781-8-15
1781	08	16	01	32	0	17.2	orig=63.0F|orig.time=20:00PM|orig.date=1781-8-15
1781	08	16	12	32	0	20.0	orig=68.0F|orig.time=7:00AM|orig.date=1781-8-16
1781	08	16	17	32	0	21.7	orig=71.0F|orig.time=12:00PM|orig.date=1781-8-16
1781	08	17	01	32	0	20.6	orig=69.0F|orig.time=20:00PM|orig.date=1781-8-16
1781	08	17	12	32	0	21.1	orig=70.0F|orig.time=7:00AM|orig.date=1781-8-17
1781	08	17	17	32	0	22.8	orig=73.0F|orig.time=12:00PM|orig.date=1781-8-17
1781	08	18	01	32	0	20.6	orig=69.0F|orig.time=20:00PM|orig.date=1781-8-17
1781	08	18	12	32	0	20.0	orig=68.0F|orig.time=7:00AM|orig.date=1781-8-18
1781	08	18	17	32	0	18.3	orig=65.0F|orig.time=12:00PM|orig.date=1781-8-18
1781	08	19	01	32	0	19.4	orig=67.0F|orig.time=20:00PM|orig.date=1781-8-18
1781	08	19	12	32	0	17.8	orig=64.0F|orig.time=7:00AM|orig.date=1781-8-19
1781	08	19	17	32	0	20.6	orig=69.0F|orig.time=12:00PM|orig.date=1781-8-19
1781	08	20	01	32	0	17.2	orig=63.0F|orig.time=20:00PM|orig.date=1781-8-19
1781	08	20	12	32	0	17.2	orig=63.0F|orig.time=7:00AM|orig.date=1781-8-20
1781	08	20	17	32	0	20.6	orig=69.0F|orig.time=12:00PM|orig.date=1781-8-20
1781	08	21	01	32	0	19.4	orig=67.0F|orig.time=20:00PM|orig.date=1781-8-20
1781	08	21	12	32	0	20.0	orig=68.0F|orig.time=7:00AM|orig.date=1781-8-21
1781	08	21	17	32	0	23.9	orig=75.0F|orig.time=12:00PM|orig.date=1781-8-21
1781	08	22	01	32	0	21.7	orig=71.0F|orig.time=20:00PM|orig.date=1781-8-21
1781	08	22	12	32	0	20.0	orig=68.0F|orig.time=7:00AM|orig.date=1781-8-22
1781	08	22	17	32	0	22.2	orig=72.0F|orig.time=12:00PM|orig.date=1781-8-22
1781	08	23	01	32	0	21.7	orig=71.0F|orig.time=20:00PM|orig.date=1781-8-22
1781	08	23	12	32	0	18.9	orig=66.0F|orig.time=7:00AM|orig.date=1781-8-23
1781	08	23	17	32	0	20.6	orig=69.0F|orig.time=12:00PM|orig.date=1781-8-23
1781	08	24	01	32	0	16.7	orig=62.0F|orig.time=20:00PM|orig.date=1781-8-23
1781	08	24	12	32	0	18.9	orig=66.0F|orig.time=7:00AM|orig.date=1781-8-24
1781	08	24	17	32	0	22.2	orig=72.0F|orig.time=12:00PM|orig.date=1781-8-24
1781	08	25	01	32	0	18.3	orig=65.0F|orig.time=20:00PM|orig.date=1781-8-24
1781	08	25	12	32	0	17.8	orig=64.0F|orig.time=7:00AM|orig.date=1781-8-25
1781	08	25	17	32	0	21.7	orig=71.0F|orig.time=12:00PM|orig.date=1781-8-25
1781	08	26	01	32	0	21.7	orig=71.0F|orig.time=20:00PM|orig.date=1781-8-25
1781	08	26	12	32	0	21.1	orig=70.0F|orig.time=7:00AM|orig.date=1781-8-26
1781	08	26	17	32	0	23.9	orig=75.0F|orig.time=12:00PM|orig.date=1781-8-26
1781	08	27	01	32	0	18.3	orig=65.0F|orig.time=20:00PM|orig.date=1781-8-26
1781	08	27	12	32	0	18.9	orig=66.0F|orig.time=7:00AM|orig.date=1781-8-27
1781	08	27	17	32	0	21.1	orig=70.0F|orig.time=12:00PM|orig.date=1781-8-27
1781	08	28	01	32	0	17.2	orig=63.0F|orig.time=20:00PM|orig.date=1781-8-27
1781	08	28	12	32	0	18.9	orig=66.0F|orig.time=7:00AM|orig.date=1781-8-28
1781	08	28	17	32	0	20.6	orig=69.0F|orig.time=12:00PM|orig.date=1781-8-28
1781	08	29	01	32	0	18.3	orig=65.0F|orig.time=20:00PM|orig.date=1781-8-28
1781	08	29	12	32	0	20.0	orig=68.0F|orig.time=7:00AM|orig.date=1781-8-29
1781	08	29	17	32	0	20.6	orig=69.0F|orig.time=12:00PM|orig.date=1781-8-29
1781	08	30	01	32	0	17.8	orig=64.0F|orig.time=20:00PM|orig.date=1781-8-29
1781	08	30	12	32	0	15.6	orig=60.0F|orig.time=7:00AM|orig.date=1781-8-30
1781	08	30	17	32	0	18.3	orig=65.0F|orig.time=12:00PM|orig.date=1781-8-30
1781	08	31	01	32	0	17.2	orig=63.0F|orig.time=20:00PM|orig.date=1781-8-30
1781	08	31	12	32	0	14.4	orig=58.0F|orig.time=7:00AM|orig.date=1781-8-31
1781	08	31	17	32	0	18.9	orig=66.0F|orig.time=12:00PM|orig.date=1781-8-31
1781	09	01	01	32	0	15.6	orig=60.0F|orig.time=20:00PM|orig.date=1781-8-31
1781	09	01	12	32	0	12.8	orig=55.0F|orig.time=7:00AM|orig.date=1781-9-1
1781	09	01	17	32	0	18.9	orig=66.0F|orig.time=12:00PM|orig.date=1781-9-1
1781	09	02	01	32	0	16.7	orig=62.0F|orig.time=20:00PM|orig.date=1781-9-1
1781	09	02	12	32	0	18.3	orig=65.0F|orig.time=7:00AM|orig.date=1781-9-2
1781	09	02	17	32	0	20.6	orig=69.0F|orig.time=12:00PM|orig.date=1781-9-2
1781	09	03	01	32	0	17.8	orig=64.0F|orig.time=20:00PM|orig.date=1781-9-2
1781	09	03	12	32	0	17.8	orig=64.0F|orig.time=7:00AM|orig.date=1781-9-3
1781	09	03	17	32	0	21.7	orig=71.0F|orig.time=12:00PM|orig.date=1781-9-3
1781	09	04	01	32	0	17.8	orig=64.0F|orig.time=20:00PM|orig.date=1781-9-3
1781	09	04	12	32	0	15.6	orig=60.0F|orig.time=7:00AM|orig.date=1781-9-4
1781	09	04	17	32	0	18.9	orig=66.0F|orig.time=12:00PM|orig.date=1781-9-4
1781	09	05	01	32	0	15.0	orig=59.0F|orig.time=20:00PM|orig.date=1781-9-4
1781	09	05	12	32	0	12.8	orig=55.0F|orig.time=7:00AM|orig.date=1781-9-5
1781	09	05	17	32	0	17.8	orig=64.0F|orig.time=12:00PM|orig.date=1781-9-5
1781	09	06	01	32	0	15.6	orig=60.0F|orig.time=20:00PM|orig.date=1781-9-5
1781	09	06	12	32	0	18.9	orig=66.0F|orig.time=7:00AM|orig.date=1781-9-6
1781	09	06	17	32	0	23.9	orig=75.0F|orig.time=12:00PM|orig.date=1781-9-6
1781	09	07	01	32	0	21.7	orig=71.0F|orig.time=20:00PM|orig.date=1781-9-6
1781	09	07	12	32	0	21.1	orig=70.0F|orig.time=7:00AM|orig.date=1781-9-7
1781	09	07	17	32	0	23.3	orig=74.0F|orig.time=12:00PM|orig.date=1781-9-7
1781	09	08	01	32	0	20.6	orig=69.0F|orig.time=20:00PM|orig.date=1781-9-7
1781	09	08	12	32	0	15.0	orig=59.0F|orig.time=7:00AM|orig.date=1781-9-8
1781	09	08	17	32	0	20.0	orig=68.0F|orig.time=12:00PM|orig.date=1781-9-8
1781	09	09	01	32	0	16.1	orig=61.0F|orig.time=20:00PM|orig.date=1781-9-8
1781	09	09	12	32	0	14.4	orig=58.0F|orig.time=7:00AM|orig.date=1781-9-9
1781	09	09	17	32	0	17.8	orig=64.0F|orig.time=12:00PM|orig.date=1781-9-9
1781	09	10	01	32	0	17.8	orig=64.0F|orig.time=20:00PM|orig.date=1781-9-9
1781	09	10	12	32	0	17.8	orig=64.0F|orig.time=7:00AM|orig.date=1781-9-10
1781	09	10	17	32	0	20.6	orig=69.0F|orig.time=12:00PM|orig.date=1781-9-10
1781	09	11	01	32	0	20.0	orig=68.0F|orig.time=20:00PM|orig.date=1781-9-10
1781	09	11	12	32	0	20.0	orig=68.0F|orig.time=7:00AM|orig.date=1781-9-11
1781	09	11	17	32	0	19.4	orig=67.0F|orig.time=12:00PM|orig.date=1781-9-11
1781	09	12	01	32	0	18.9	orig=66.0F|orig.time=20:00PM|orig.date=1781-9-11
1781	09	12	12	32	0	15.6	orig=60.0F|orig.time=7:00AM|orig.date=1781-9-12
1781	09	12	17	32	0	20.0	orig=68.0F|orig.time=12:00PM|orig.date=1781-9-12
1781	09	13	01	32	0	18.9	orig=66.0F|orig.time=20:00PM|orig.date=1781-9-12
